980;2017;4;0;2;2;15;0;0;-1;-1;0
981;2017;1;0;2;1;48;0;0;-1;-1;0
981;2017;2;1;2;1;49;1;2;55;30113;-1
981;2017;3;1;2;1;24;1;3;55;99999;-1
981;2017;4;0;2;1;13;0;0;-1;-1;0
981;2017;5;0;2;1;17;0;0;-1;-1;0
982;2017;1;1;2;1;85;0;0;-1;-1;0
982;2017;2;1;2;1;77;0;0;-1;-1;0
313;2017;1;1;2;1;52;1;3;25;41332;17000
313;2017;2;1;2;1;53;1;3;45;20202;30000
313;2017;3;0;2;2;27;0;0;-1;-1;0
313;2017;4;0;2;1;21;0;0;-1;-1;0
983;2017;2;1;2;2;63;1;3;0;41311;30000
983;2017;1;1;2;2;64;1;2;60;72131;15000
487;2017;1;1;2;1;52;1;1;56;6001;40000
487;2017;2;1;2;2;38;1;3;20;41312;13000
487;2017;3;0;2;2;5;0;0;-1;-1;0
874;2017;1;0;2;2;65;1;3;40;45332;30000
984;2017;1;0;2;1;79;0;0;-1;-1;0
984;2017;2;0;2;1;74;0;0;-1;-1;0
985;2017;1;0;2;2;67;1;1;11;5002;7000
985;2017;2;0;2;2;67;0;0;-1;-1;0
985;2017;3;1;2;1;26;1;3;40;20331;12000
986;2017;1;0;2;1;21;0;0;-1;-1;0
986;2017;2;0;2;2;23;0;0;-1;-1;0
987;2017;1;0;2;1;44;1;2;60;33114;5000
987;2017;2;0;2;1;44;1;3;5;55314;1600
987;2017;3;0;2;1;14;0;0;-1;-1;0
988;2017;1;0;2;1;42;1;3;40;20332;-1
988;2017;2;1;2;2;44;1;3;40;30333;-1
988;2017;3;0;2;1;18;0;0;-1;-1;0
988;2017;4;0;2;1;1;0;0;-1;-1;0
989;2017;1;0;2;1;54;1;3;40;20332;31000
991;2017;1;0;2;1;75;0;0;-1;-1;0
991;2017;2;0;2;2;39;1;2;10;82112;10000
992;2017;1;1;2;1;64;0;0;-1;-1;0
932;2017;1;1;2;2;56;1;3;50;45332;-1
932;2017;2;0;2;2;23;0;0;-1;-1;0
932;2017;3;1;2;2;59;1;3;40;10333;15000
