265;2016;2;120000;2
906;2016;2;8000;2
46;2016;2;16000;2
636;2016;2;0;2
584;2016;2;72000;2
55;2016;2;0;2
821;2016;2;2300;2
539;2016;2;0;2
743;2016;2;18000;2
550;2016;2;20000;2
344;2016;2;0;2
882;2016;2;0;2
294;2016;2;29500;2
106;2016;2;0;2
719;2016;2;0;2
232;2016;2;46000;2
502;2016;2;18500;2
511;2016;2;0;2
657;2016;2;13500;2
807;2016;2;13800;2
359;2016;2;0;2
115;2016;2;0;2
490;2016;2;62000;2
43;2016;2;37600;2
39;2016;2;23500;2
352;2016;2;26000;2
862;2016;2;0;2
680;2016;2;0;2
330;2016;2;10000;2
63;2016;2;12000;2
183;2016;2;15000;2
597;2016;2;10000;2
660;2016;2;0;2
81;2016;2;15000;2
523;2016;2;2400;2
873;2016;2;66000;2
355;2016;2;15000;2
813;2016;2;40000;2
686;2016;2;0;2
781;2016;2;0;2
441;2016;2;18800;2
937;2016;2;20000;2
466;2016;2;0;2
333;2016;2;0;2
880;2016;2;0;2
85;2016;2;50000;2
521;2016;2;0;2
739;2016;2;0;2
120;2016;2;8000;2
827;2016;2;23000;2
